@relation spk1f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,L*,HL-,HH-}

@data
12,14,NNS,10,PMOD,?,?,R1,?,?,2,Z,11,67,72,78,188,213,25,0.269,0.269,S
13,14,DT,14,NMOD,?,?,R1,?,?,2,Z,4,72,74,76,187,197,11,0.062,0.062,U
14,14,NN,12,ADV,?,?,R1,?,?,2,Z,25,54,70,79,181,291,110,0.47,0.47,LL-
1,8,DT,3,NMOD,?,?,T1,?,?,2,A,15,69,77,83,221,233,13,0.093,0.093,U
2,8,JJ,3,NMOD,?,?,T1,?,?,2,A,2,82,83,84,233,259,26,0.15,0.15,L*+H
3,8,NN,4,SBJ,?,?,T1,?,?,2,A,43,40,65,83,227,259,31,0.518,0.518,S
4,8,MD,0,ROOT,?,?,R1,?,?,2,Z,22,58,73,80,197,234,37,0.156,0.156,U
5,8,VB,4,VC,?,?,R1,?,?,2,Z,19,60,73,79,211,239,28,0.136,0.136,S
6,8,JJ,5,PRD,?,?,R1,?,?,2,Z,16,66,78,83,214,241,27,0.111,0.334,LH-
7,8,NNP,8,NMOD,?,?,R1,?,?,2,Z,23,58,75,81,201,236,35,0.168,0.504,L*
8,8,CD,6,TMP,?,?,R1,?,?,2,Z,29,48,62,77,183,201,18,0.355,0.711,LL-
1,6,DT,3,NMOD,?,?,T1,?,?,2,A,17,58,70,75,206,208,2,0.085,0.085,U
2,6,NN,3,NMOD,?,?,T1,?,?,2,A,20,60,73,80,208,257,49,0.17,0.339,L*+H
3,6,NN,4,SBJ,?,?,T1,?,?,2,A,11,71,78,82,220,230,10,0.153,0.153,LL-
4,6,VBZ,0,ROOT,?,?,R1,?,?,2,Z,14,64,72,78,193,228,35,0.345,0.345,L*
5,6,VBN,4,VC,?,?,R1,?,?,2,Z,18,57,70,75,187,195,8,0.197,0.197,U
6,6,VBN,6,VC,?,?,R1,?,?,2,Z,30,46,64,76,181,183,2,0.471,0.471,LL-
1,13,NNP,8,SBJ,?,?,T1,?,?,2,A,42,40,66,82,191,269,78,0.677,0.677,L*+H
2,13,VBN,1,APPO,?,?,T1,?,?,2,A,17,64,74,81,215,230,15,0.232,0.232,S
3,13,IN,3,LOC,?,?,T1,?,?,2,A,9,71,78,80,224,236,13,0.124,0.124,U
4,13,NNP,6,NAME,?,?,T1,?,?,2,A,16,64,72,79,202,224,21,0.201,0.201,S
5,13,NNP,4,PMOD,?,?,T1,?,?,2,A,35,42,63,77,184,285,101,0.283,0.848,LH-
6,13,VBZ,0,ROOT,?,?,R1,?,?,2,Z,15,66,74,81,213,260,47,0.269,0.269,L*+H
7,13,CC,8,COORD,?,?,R1,?,?,2,Z,4,76,79,80,236,259,23,0.095,0.095,U
8,13,VBZ,9,CONJ,?,?,R1,?,?,2,Z,17,61,72,78,202,237,35,0.141,0.424,S
9,13,JJ,10,PRD,?,?,R1,?,?,2,Z,26,51,68,77,186,245,58,0.168,0.672,L*+H
10,13,NN,11,COORD,?,?,R1,?,?,2,Z,32,46,70,78,192,228,36,0.174,0.523,S
11,13,CC,13,COORD,?,?,R1,?,?,2,Z,5,71,74,76,191,200,9,0.112,0.112,U
12,13,NN,14,CONJ,?,?,R1,?,?,2,Z,25,55,73,80,183,191,7,0.179,0.358,S
13,13,NNS,8,OBJ,?,?,R1,?,?,2,Z,28,50,65,78,174,183,9,0.342,0.684,LL-
1,16,DT,3,NMOD,?,?,T1,?,?,2,A,29,50,70,79,223,230,7,0.108,0.108,U
2,16,VBN,3,NMOD,?,?,T1,?,?,2,A,25,55,71,80,216,274,58,0.191,0.382,L*+H
3,16,NNS,5,SBJ,?,?,T1,?,?,2,A,17,61,73,78,198,241,43,0.213,0.426,S
4,16,RB,5,ADV,?,?,R1,?,?,2,Z,12,67,74,79,201,246,46,0.168,0.336,L*+H
5,16,MD,0,ROOT,?,?,R1,?,?,2,Z,6,73,75,79,222,229,8,0.096,0.096,U
6,16,VB,5,VC,?,?,R1,?,?,2,Z,6,75,78,81,200,230,30,0.153,0.307,S
7,16,NNS,6,OBJ,?,?,R1,?,?,2,Z,22,55,68,77,177,203,25,0.138,0.55,LL-
8,16,TO,6,OPRD,?,?,R1,?,?,2,Z,10,64,69,74,191,197,7,0.104,0.104,U
9,16,VB,8,IM,?,?,R1,?,?,2,Z,27,52,70,79,190,242,52,0.192,0.384,H*
10,16,NNS,9,OBJ,?,?,R1,?,?,2,Z,19,59,69,78,192,218,26,0.142,0.567,S
11,16,IN,10,NMOD,?,?,R1,?,?,2,Z,8,64,68,72,198,210,13,0.101,0.101,U
12,16,NNS,11,PMOD,?,?,R1,?,?,2,Z,22,56,70,78,181,207,26,0.21,0.42,S
13,16,RB,9,TMP,?,?,R1,?,?,2,Z,15,65,77,81,187,205,18,0.174,0.347,L*+H
14,16,CC,13,COORD,?,?,R1,?,?,2,Z,3,70,72,73,184,200,16,0.165,0.165,U
15,16,RBR,16,AMOD,?,?,R1,?,?,2,Z,8,67,71,75,179,184,5,0.211,0.211,S
16,16,RB,14,CONJ,?,?,R1,?,?,2,Z,31,45,62,75,169,236,68,0.261,0.522,LL-
1,10,RB,4,NMOD,?,?,SP1,?,?,3,A,37,44,69,81,30,266,236,0.213,0.854,L*+H
2,10,DT,4,NMOD,?,?,T1,?,?,3,B,10,69,72,78,225,228,3,0.095,0.095,U
3,10,NN,5,SBJ,?,?,T1,?,?,3,B,14,66,76,80,228,254,27,0.123,0.369,L*+H
4,10,VBD,0,ROOT,?,?,R1,?,?,3,Z,2,73,74,74,233,241,7,0.071,0.071,S
5,10,RB,5,ADV,?,?,R1,?,?,3,Z,13,68,77,82,209,233,24,0.175,0.175,H*
6,10,RB,5,ADV,?,?,R1,?,?,3,Z,14,64,75,79,190,209,19,0.123,0.246,S
7,10,VB,5,VC,?,?,R1,?,?,3,Z,10,68,75,78,196,222,26,0.126,0.252,S
8,10,IN,8,ADV,?,?,R1,?,?,3,Z,2,73,74,75,202,222,20,0.086,0.086,U
9,10,DT,11,NMOD,?,?,R1,?,?,3,Z,5,68,71,74,190,202,12,0.19,0.19,S
10,10,NN,9,PMOD,?,?,R1,?,?,3,Z,21,55,68,76,176,191,15,0.249,0.497,LL-
1,14,CC,14,DEP,?,?,SP1,?,?,4,A,34,45,71,79,215,220,5,0.114,0.114,U
2,14,IN,3,DEP,?,?,T1,?,?,4,B,20,62,77,82,196,219,23,0.119,0.238,S
3,14,CD,4,NMOD,?,?,T1,?,?,4,B,22,60,74,82,215,249,33,0.14,0.699,L*+H
4,14,IN,4,NMOD,?,?,T1,?,?,4,B,11,64,69,75,185,215,30,0.115,0.115,U
